Country,School closure (localised),School closure (national),Curfew,Corona tests /1000000 people,Total number of tests
China,02/16/20,02/21/20,02/11/20,2831,320000
France,03/03/20,03/16/20,03/17/20,548,36747
Germany,03/03/20,03/18/20,,182,167000
"Iran, Islamic Rep.",,02/26/20,,987,80000
Italy,02/24/20,03/04/20,03/10/20,1005,206886
"Korea, Rep.",,03/02/20,,4099,316664
Spain,03/11/20,03/16/20,03/15/20,652,30000
Switzerland,03/12/20,03/16/20,,578,4000
United Kingdom,02/28/20,03/20/20,,387,64621
United States,02/28/20,,,26,37646
